checkpoint,seed,reward,steps,lap_finished,visited_tiles,total_tiles,progress_percent,end_reason
DoubleDQN_best.pt,85062,-65.265886,356,False,21,299,7.023411,off_track
DoubleDQN_best.pt,63696,-70.784615,355,False,21,325,6.461538,off_track
DoubleDQN_best.pt,51113,4.836986,254,False,38,292,13.013699,off_track
DoubleDQN_best.pt,26978,38.616832,298,False,51,303,16.831683,off_track
DoubleDQN_best.pt,30782,27.585714,243,False,34,224,15.178571,off_track
DoubleDQN_best.pt,4097,-59.787726,357,False,21,277,7.581227,off_track
DoubleDQN_best.pt,7524,-65.165886,355,False,21,299,7.023411,off_track
DoubleDQN_best.pt,1652,-67.438835,355,False,21,309,6.796117,off_track
DoubleDQN_best.pt,17526,-75.600000,357,False,21,350,6.000000,off_track
DoubleDQN_best.pt,81327,46.874074,273,False,47,270,17.407407,off_track
DoubleDQN_best.pt,64941,-58.957664,357,False,21,274,7.664234,off_track
DoubleDQN_best.pt,91275,-54.730769,356,False,21,260,8.076923,off_track
DoubleDQN_best.pt,50362,-63.582192,356,False,21,292,7.191781,off_track
DoubleDQN_best.pt,60663,-67.318182,356,False,21,308,6.818182,off_track
DoubleDQN_best.pt,97074,-66.521053,357,False,21,304,6.907895,off_track
DoubleDQN_best.pt,72949,-67.658065,355,False,21,310,6.774194,off_track
DoubleDQN_best.pt,63227,-63.186207,357,False,21,290,7.241379,off_track
DoubleDQN_best.pt,54362,-57.533086,357,False,21,269,7.806691,off_track
DoubleDQN_best.pt,55991,-68.192308,356,False,21,312,6.730769,off_track
DoubleDQN_best.pt,93507,-62.015789,358,False,21,285,7.368421,off_track
