episode,agent,seed,reward,avg_reward,steps,lap_finished,visited_tiles,total_tiles,progress_percent,avg_progress_percent,end_reason,elapsed_seconds,loss,epsilon,pg_loss,vf_loss,entropy
1,DQN,42,-22.032155,-22.032155,397,False,5,283,1.766784,1.766784,no_progress,4.383938,0.041354,0.666766,,,
2,DQN,42,-11.130742,-16.581449,500,False,11,283,3.886926,2.826855,max_steps,10.003522,0.045847,0.659341,,,
3,DQN,42,-4.063604,-12.408834,500,False,13,283,4.593640,3.415783,max_steps,15.865607,0.045469,0.651150,,,
4,DQN,42,-10.997880,-12.056095,428,False,9,283,3.180212,3.356890,no_progress,20.519831,0.039662,0.643639,,,
5,DQN,42,-14.664311,-12.577739,500,False,10,283,3.533569,3.392226,max_steps,26.057925,0.040373,0.636217,,,
6,DQN,42,-17.998587,-13.481213,392,False,6,283,2.120141,3.180212,no_progress,30.343682,0.043624,0.629160,,,
7,DQN,42,-18.197880,-14.155023,500,False,9,283,3.180212,3.180212,max_steps,36.156959,0.039650,0.622185,,,
8,DQN,42,-9.332155,-13.552164,270,False,5,283,1.766784,3.003534,no_progress,39.258875,0.038351,0.616207,,,
9,DQN,42,-18.197880,-14.068355,500,False,9,283,3.180212,3.023165,max_steps,44.815183,0.035145,0.610292,,,
10,DQN,42,-4.830742,-13.144594,437,False,11,283,3.886926,3.109541,no_progress,50.388995,0.038835,0.603192,,,
11,DQN,42,-5.499293,-11.491307,161,False,3,283,1.060071,3.038869,no_progress,54.624453,0.056155,0.598712,,,
12,DQN,42,-4.063604,-10.784594,500,False,13,283,4.593640,3.109541,max_steps,60.993015,0.058660,0.593796,,,
13,DQN,42,-21.731449,-12.551378,500,False,8,283,2.826855,2.932862,max_steps,67.667481,0.041269,0.586419,,,
14,DQN,42,-11.130742,-12.564664,500,False,11,283,3.886926,3.003534,max_steps,73.569506,0.043415,0.579134,,,
15,DQN,42,-11.130742,-12.211307,500,False,11,283,3.886926,3.038869,max_steps,79.654148,0.042681,0.571940,,,
