episode,agent,seed,reward,avg_reward,steps,lap_finished,visited_tiles,total_tiles,progress_percent,avg_progress_percent,end_reason,elapsed_seconds,loss,epsilon,pg_loss,vf_loss,entropy
1,DoubleDQN,42,321.024735,321.024735,500,False,105,283,37.102473,37.102473,max_steps,6.825668,0.599079,0.050000,,,
2,DoubleDQN,42,229.151943,275.088339,500,False,79,283,27.915194,32.508834,max_steps,13.621422,0.610195,0.050000,,,
3,DoubleDQN,42,250.353357,266.843345,500,False,85,283,30.035336,31.684335,max_steps,20.338858,0.612022,0.050000,,,
4,DoubleDQN,42,229.151943,257.420495,500,False,79,283,27.915194,30.742049,max_steps,27.157117,0.621198,0.050000,,,
5,DoubleDQN,42,317.491166,269.434629,500,False,104,283,36.749117,31.943463,max_steps,33.975865,0.608396,0.050000,,,
6,DoubleDQN,42,172.614841,253.297998,500,False,63,283,22.261484,30.329800,max_steps,40.801146,0.591026,0.050000,,,
7,DoubleDQN,42,328.091873,263.982837,500,False,107,283,37.809187,31.398284,max_steps,47.588772,0.600713,0.050000,,,
8,DoubleDQN,42,328.091873,271.996466,500,False,107,283,37.809187,32.199647,max_steps,54.455984,0.631330,0.050000,,,
9,DoubleDQN,42,377.561837,283.725952,500,False,121,283,42.756184,33.372595,max_steps,61.546920,0.598436,0.050000,,,
10,DoubleDQN,42,328.091873,288.162544,500,False,107,283,37.809187,33.816254,max_steps,69.049184,0.626406,0.050000,,,
11,DoubleDQN,42,264.487633,282.508834,500,False,89,283,31.448763,33.250883,max_steps,82.660524,0.619684,0.050000,,,
12,DoubleDQN,42,342.226148,293.816254,500,False,111,283,39.222615,34.381625,max_steps,90.519684,0.608975,0.050000,,,
13,DoubleDQN,42,299.823322,298.763251,500,False,99,283,34.982332,34.876325,max_steps,98.293485,0.581528,0.050000,,,
14,DoubleDQN,42,11.436396,276.991696,345,False,13,283,4.593640,32.544170,no_progress,103.677562,0.598332,0.050000,,,
15,DoubleDQN,42,349.293286,280.171908,500,False,113,283,39.929329,32.862191,max_steps,111.488278,0.586774,0.050000,,,
16,DoubleDQN,42,236.219081,286.532332,500,False,81,283,28.621908,33.498233,max_steps,119.219061,0.619154,0.050000,,,
17,DoubleDQN,42,370.494700,290.772615,500,False,119,283,42.049470,33.922261,max_steps,126.890019,0.574662,0.050000,,,
18,DoubleDQN,42,285.689046,286.532332,500,False,95,283,33.568905,33.498233,max_steps,134.534791,0.580945,0.050000,,,
19,DoubleDQN,42,268.021201,275.578269,500,False,90,283,31.802120,32.402827,max_steps,142.314993,0.655479,0.050000,,,
20,DoubleDQN,42,321.024735,274.871555,500,False,105,283,37.102473,32.332155,max_steps,150.890627,0.603015,0.050000,,,
21,DoubleDQN,42,370.494700,285.472261,500,False,119,283,42.049470,33.392226,max_steps,166.235387,0.590438,0.050000,,,
22,DoubleDQN,42,363.427562,287.592403,500,False,117,283,41.342756,33.604240,max_steps,175.451330,0.625857,0.050000,,,
23,DoubleDQN,42,321.024735,289.712544,500,False,105,283,37.102473,33.816254,max_steps,183.427086,0.595454,0.050000,,,
24,DoubleDQN,42,366.961131,325.265018,500,False,118,283,41.696113,37.526502,max_steps,191.239336,0.597939,0.050000,,,
25,DoubleDQN,42,317.491166,322.084806,500,False,104,283,36.749117,37.208481,max_steps,198.973474,0.615476,0.050000,,,
26,DoubleDQN,42,381.095406,336.572438,500,False,122,283,43.109541,38.657244,max_steps,206.679662,0.623358,0.050000,,,
27,DoubleDQN,42,246.819788,324.204947,500,False,84,283,29.681979,37.420495,max_steps,214.273771,0.612714,0.050000,,,
28,DoubleDQN,42,395.229682,335.159011,500,False,126,283,44.522968,38.515901,max_steps,222.326744,0.601665,0.050000,,,
29,DoubleDQN,42,118.044170,320.161307,445,False,46,283,16.254417,36.961131,no_progress,231.395218,0.610032,0.050000,,,
30,DoubleDQN,42,211.484099,309.207244,500,False,74,283,26.148410,35.865724,max_steps,240.337072,0.594240,0.050000,,,
31,DoubleDQN,42,384.628975,310.620671,500,False,123,283,43.462898,36.007067,max_steps,256.072121,0.598390,0.050000,,,
32,DoubleDQN,42,271.554770,301.433392,500,False,91,283,32.155477,35.088339,max_steps,264.612725,0.659385,0.050000,,,
33,DoubleDQN,42,253.886926,294.719611,500,False,86,283,30.388693,34.416961,max_steps,272.892216,0.625315,0.050000,,,
34,DoubleDQN,42,328.091873,290.832686,500,False,107,283,37.809187,34.028269,max_steps,281.677618,0.573674,0.050000,,,
35,DoubleDQN,42,299.823322,289.065901,500,False,99,283,34.982332,33.851590,max_steps,289.429320,0.578966,0.050000,,,
36,DoubleDQN,42,359.893993,286.945760,500,False,116,283,40.989399,33.639576,max_steps,297.124497,0.641842,0.050000,,,
37,DoubleDQN,42,338.692580,296.133039,500,False,110,283,38.869258,34.558304,max_steps,304.884238,0.595464,0.050000,,,
38,DoubleDQN,42,321.024735,288.712544,500,False,105,283,37.102473,33.816254,max_steps,313.259207,0.572949,0.050000,,,
39,DoubleDQN,42,169.081272,293.816254,500,False,62,283,21.908127,34.381625,max_steps,320.928839,0.593759,0.050000,,,
40,DoubleDQN,42,395.229682,312.190813,500,False,126,283,44.522968,36.219081,max_steps,328.873009,0.591787,0.050000,,,
41,DoubleDQN,42,140.812721,287.809187,500,False,54,283,19.081272,33.780919,max_steps,341.970195,0.589772,0.050000,,,
42,DoubleDQN,42,398.763251,300.530035,500,False,127,283,44.876325,35.053004,max_steps,349.776561,0.616880,0.050000,,,
43,DoubleDQN,42,162.014134,291.342756,500,False,60,283,21.201413,34.134276,max_steps,357.681074,0.605098,0.050000,,,
44,DoubleDQN,42,183.215548,276.855124,500,False,66,283,23.321555,32.685512,max_steps,365.472945,0.621746,0.050000,,,
45,DoubleDQN,42,200.883392,266.961131,500,False,71,283,25.088339,31.696113,max_steps,373.211417,0.620124,0.050000,,,
46,DoubleDQN,42,306.890459,261.660777,500,False,101,283,35.689046,31.166078,max_steps,380.951809,0.579991,0.050000,,,
47,DoubleDQN,42,324.558304,260.247350,500,False,106,283,37.455830,31.024735,max_steps,388.730911,0.566276,0.050000,,,
48,DoubleDQN,42,285.689046,256.713781,500,False,95,283,33.568905,30.671378,max_steps,396.440531,0.570505,0.050000,,,
49,DoubleDQN,42,370.494700,276.855124,500,False,119,283,42.049470,32.685512,max_steps,404.154739,0.585122,0.050000,,,
50,DoubleDQN,42,115.577032,248.889859,399,False,44,283,15.547703,29.787986,no_progress,410.338509,0.557741,0.050000,,,
51,DoubleDQN,42,183.215548,253.130141,500,False,66,283,23.321555,30.212014,max_steps,418.131160,0.592500,0.050000,,,
52,DoubleDQN,42,402.296820,253.483498,500,False,128,283,45.229682,30.247350,max_steps,425.840463,0.571462,0.050000,,,
53,DoubleDQN,42,324.558304,269.737915,500,False,106,283,37.455830,31.872792,max_steps,433.733319,0.611017,0.050000,,,
54,DoubleDQN,42,299.823322,281.398693,500,False,99,283,34.982332,33.038869,max_steps,441.397583,0.559129,0.050000,,,
55,DoubleDQN,42,310.424028,292.352756,500,False,102,283,36.042403,34.134276,max_steps,449.114856,0.614287,0.050000,,,
56,DoubleDQN,42,303.356890,291.999399,500,False,100,283,35.335689,34.098940,max_steps,456.783718,0.591372,0.050000,,,
57,DoubleDQN,42,317.491166,291.292686,500,False,104,283,36.749117,34.028269,max_steps,464.529720,0.596164,0.050000,,,
58,DoubleDQN,42,321.024735,294.826254,500,False,105,283,37.102473,34.381625,max_steps,472.674572,0.588407,0.050000,,,
59,DoubleDQN,42,349.293286,292.706113,500,False,113,283,39.929329,34.169611,max_steps,481.102597,0.573747,0.050000,,,
60,DoubleDQN,42,292.756184,310.424028,500,False,97,283,34.275618,36.042403,max_steps,490.108254,0.572832,0.050000,,,
61,DoubleDQN,42,218.551237,313.957597,500,False,76,283,26.855124,36.395760,max_steps,500.093008,0.586721,0.050000,,,
62,DoubleDQN,42,232.685512,296.996466,500,False,80,283,28.268551,34.699647,max_steps,511.018331,0.576944,0.050000,,,
63,DoubleDQN,42,324.558304,296.996466,500,False,106,283,37.455830,34.699647,max_steps,519.984738,0.556517,0.050000,,,
64,DoubleDQN,42,366.961131,303.710247,500,False,118,283,41.696113,35.371025,max_steps,529.620836,0.586637,0.050000,,,
65,DoubleDQN,42,363.427562,309.010601,500,False,117,283,41.342756,35.901060,max_steps,538.506740,0.571835,0.050000,,,
66,DoubleDQN,42,335.159011,312.190813,500,False,109,283,38.515901,36.219081,max_steps,546.728475,0.580826,0.050000,,,
