episode,agent,seed,reward,avg_reward,steps,lap_finished,visited_tiles,total_tiles,progress_percent,avg_progress_percent,end_reason,elapsed_seconds,loss,epsilon,pg_loss,vf_loss,entropy
1,PPO,42,-21.731449,-21.731449,500,False,8,283,2.826855,2.826855,max_steps,2.219126,,,,,
2,PPO,42,-13.532155,-17.631802,312,False,5,283,1.766784,2.296820,no_progress,3.603329,,,,,
3,PPO,42,-18.798587,-18.020730,400,False,6,283,2.120141,2.237927,no_progress,5.346773,,,,,
4,PPO,42,-10.965724,-16.256979,251,False,4,283,1.413428,2.031802,no_progress,6.476627,,,,,
5,PPO,42,-25.265018,-18.058587,500,False,7,283,2.473498,2.120141,max_steps,8.633293,,,,,
6,PPO,42,-25.265018,-19.259658,500,False,7,283,2.473498,2.179034,max_steps,10.805050,,,,,
7,PPO,42,-10.365724,-17.989096,245,False,4,283,1.413428,2.069662,no_progress,11.875965,,,,,
8,PPO,42,-12.865724,-17.348675,270,False,4,283,1.413428,1.987633,no_progress,13.050989,,,,,
9,PPO,42,-21.731449,-17.835650,500,False,8,283,2.826855,2.080879,max_steps,15.214469,,,,,
10,PPO,42,-5.699293,-16.622014,163,False,3,283,1.060071,1.978799,no_progress,15.930356,,,,,
11,PPO,42,-21.731449,-16.622014,500,False,8,283,2.826855,1.978799,max_steps,25.516089,0.139124,,-0.005449,0.899360,1.605356
12,PPO,42,-18.197880,-17.088587,500,False,9,283,3.180212,2.120141,max_steps,27.658619,,,,,
13,PPO,42,-21.731449,-17.381873,500,False,8,283,2.826855,2.190813,max_steps,29.811460,,,,,
14,PPO,42,-16.932155,-17.978516,346,False,5,283,1.766784,2.226148,no_progress,31.311485,,,,,
15,PPO,42,-11.130742,-16.565088,500,False,11,283,3.886926,2.367491,max_steps,33.458233,,,,,
16,PPO,42,-28.098587,-16.848445,493,False,6,283,2.120141,2.332155,no_progress,35.587330,,,,,
17,PPO,42,-18.197880,-17.631661,500,False,9,283,3.180212,2.508834,max_steps,37.738574,,,,,
18,PPO,42,-18.197880,-18.164876,500,False,9,283,3.180212,2.685512,max_steps,39.897482,,,,,
19,PPO,42,-14.664311,-17.458163,500,False,10,283,3.533569,2.756184,max_steps,42.054412,,,,,
20,PPO,42,-7.597173,-17.647951,500,False,12,283,4.240283,3.074205,max_steps,51.683853,0.115296,,-0.007759,0.810246,1.590136
21,PPO,42,-14.664311,-16.941237,500,False,10,283,3.533569,3.144876,max_steps,53.905053,,,,,
22,PPO,42,-18.197880,-16.941237,500,False,9,283,3.180212,3.144876,max_steps,56.134375,,,,,
23,PPO,42,-14.664311,-16.234523,500,False,10,283,3.533569,3.215548,max_steps,58.326778,,,,,
24,PPO,42,-21.731449,-16.714452,500,False,8,283,2.826855,3.321555,max_steps,60.515904,,,,,
25,PPO,42,-18.197880,-17.421166,500,False,9,283,3.180212,3.250883,max_steps,62.743776,,,,,
26,PPO,42,-11.130742,-15.724382,500,False,11,283,3.886926,3.427562,max_steps,64.949834,,,,,
27,PPO,42,-7.597173,-14.664311,500,False,12,283,4.240283,3.533569,max_steps,67.127066,,,,,
28,PPO,42,-14.664311,-14.310954,500,False,10,283,3.533569,3.568905,max_steps,76.499996,0.057766,,-0.007091,0.574125,1.573482
29,PPO,42,-14.664311,-14.310954,500,False,10,283,3.533569,3.568905,max_steps,78.708615,,,,,
30,PPO,42,-4.063604,-13.957597,500,False,13,283,4.593640,3.604240,max_steps,80.927425,,,,,
31,PPO,42,-0.530035,-12.544170,500,False,14,283,4.946996,3.745583,max_steps,83.199623,,,,,
32,PPO,42,-7.597173,-11.484099,500,False,12,283,4.240283,3.851590,max_steps,85.535310,,,,,
33,PPO,42,-14.664311,-11.484099,500,False,10,283,3.533569,3.851590,max_steps,87.942663,,,,,
34,PPO,42,-4.063604,-9.717314,500,False,13,283,4.593640,4.028269,max_steps,90.367319,,,,,
35,PPO,42,-0.530035,-7.950530,500,False,14,283,4.946996,4.204947,max_steps,92.801968,,,,,
36,PPO,42,-7.597173,-7.597173,500,False,12,283,4.240283,4.240283,max_steps,102.915921,0.054122,,-0.006053,0.551679,1.554911
